field,fieldname_es
GFA_DST_PSI_EW,PSI medidas horizontales
b5mcode,Código PSI
url_graphics_psi,URL de la gráfica PSI
code,Código o identificador del punto
utm_x,Valor de la coordenada UTM X
utm_y,Valor de la coordenada UTM Y
height,Altura del punto
autocorr,Valor de la autocorrelación
vel,Valor de la velocidad
ts_stdev,Desviación estándar de la serie temporal
d20160709,Dato del 9 de julio de 2016
d20160721,Dato del 21 de julio de 2016
d20160802,Dato del 2 de agosto de 2016
d20160814,Dato del 14 de agosto de 2016
d20160826,Dato del 26 de agosto de 2016
d20160907,Dato del 7 de septiembre de 2016
d20160919,Dato del 19 de septiembre de 2016
d20161001,Dato del 1 de octubre de 2016
d20161013,Dato del 13 de octubre de 2016
d20161025,Dato del 25 de octubre de 2016
d20161106,Dato del 6 de noviembre de 2016
d20161118,Dato del 18 de noviembre de 2016
d20161130,Dato del 30 de noviembre de 2016
d20161212,Dato del 12 de diciembre de 2016
d20161224,Dato del 24 de diciembre de 2016
d20170105,Dato del 5 de enero de 2017
d20170117,Dato del 17 de enero de 2017
d20170129,Dato del 29 de enero de 2017
d20170210,Dato del 10 de febrero de 2017
d20170222,Dato del 22 de febrero de 2017
d20170306,Dato del 6 de marzo de 2017
d20170318,Dato del 18 de marzo de 2017
d20170330,Dato del 30 de marzo de 2017
d20170411,Dato del 11 de abril de 2017
d20170423,Dato del 23 de abril de 2017
d20170505,Dato del 5 de mayo de 2017
d20170517,Dato del 17 de mayo de 2017
d20170529,Dato del 29 de mayo de 2017
d20170610,Dato del 10 de junio de 2017
d20170622,Dato del 22 de junio de 2017
d20170704,Dato del 4 de julio de 2017
d20170716,Dato del 16 de julio de 2017
d20170728,Dato del 28 de julio de 2017
d20170809,Dato del 9 de agosto de 2017
d20170821,Dato del 21 de agosto de 2017
d20170902,Dato del 2 de septiembre de 2017
d20170914,Dato del 14 de septiembre de 2017
d20170926,Dato del 26 de septiembre de 2017
d20171008,Dato del 8 de octubre de 2017
d20171020,Dato del 20 de octubre de 2017
d20171101,Dato del 1 de noviembre de 2017
d20171113,Dato del 13 de noviembre de 2017
d20171125,Dato del 25 de noviembre de 2017
d20171207,Dato del 7 de diciembre de 2017
d20171219,Dato del 19 de diciembre de 2017
d20171231,Dato del 31 de diciembre de 2017
d20180112,Dato del 12 de enero de 2018
d20180124,Dato del 24 de enero de 2018
d20180205,Dato del 5 de febrero de 2018
d20180217,Dato del 17 de febrero de 2018
d20180301,Dato del 1 de marzo de 2018
d20180313,Dato del 13 de marzo de 2018
d20180325,Dato del 25 de marzo de 2018
d20180406,Dato del 6 de abril de 2018
d20180412,Dato del 12 de abril de 2018
d20180424,Dato del 24 de abril de 2018
d20180506,Dato del 6 de mayo de 2018
d20180518,Dato del 18 de mayo de 2018
d20180530,Dato del 30 de mayo de 2018
d20180611,Dato del 11 de junio de 2018
d20180623,Dato del 23 de junio de 2018
d20180705,Dato del 5 de julio de 2018
d20180717,Dato del 17 de julio de 2018
d20180729,Dato del 29 de julio de 2018
d20180810,Dato del 10 de agosto de 2018
d20180822,Dato del 22 de agosto de 2018
d20180903,Dato del 3 de septiembre de 2018
d20180915,Dato del 15 de septiembre de 2018
d20180927,Dato del 27 de septiembre de 2018
d20181009,Dato del 9 de octubre de 2018
d20181021,Dato del 21 de octubre de 2018
d20181102,Dato del 2 de noviembre de 2018
d20181114,Dato del 14 de noviembre de 2018
d20181126,Dato del 26 de noviembre de 2018
d20181208,Dato del 8 de diciembre de 2018
d20181220,Dato del 20 de diciembre de 2018
d20190101,Dato del 1 de enero de 2019
d20190113,Dato del 13 de enero de 2019
d20190125,Dato del 25 de enero de 2019
d20190218,Dato del 18 de febrero de 2019
d20190302,Dato del 2 de marzo de 2019
d20190326,Dato del 26 de marzo de 2019
d20190407,Dato del 7 de abril de 2019
d20190419,Dato del 19 de abril de 2019
d20190501,Dato del 1 de mayo de 2019
d20190525,Dato del 25 de mayo de 2019
d20190606,Dato del 6 de junio de 2019
d20190618,Dato del 18 de junio de 2019
d20190630,Dato del 30 de junio de 2019
d20190724,Dato del 24 de julio de 2019
d20190805,Dato del 5 de agosto de 2019
d20190817,Dato del 17 de agosto de 2019
d20190829,Dato del 29 de agosto de 2019
d20190922,Dato del 22 de septiembre de 2019
d20191004,Dato del 4 de octubre de 2019
d20191016,Dato del 16 de octubre de 2019
d20191028,Dato del 28 de octubre de 2019
d20191121,Dato del 21 de noviembre de 2019
d20191203,Dato del 3 de diciembre de 2019
d20191215,Dato del 15 de diciembre de 2019
d20191221,Dato del 21 de diciembre de 2019
d20200102,Dato del 2 de enero de 2020
d20200114,Dato del 14 de enero de 2020
d20200126,Dato del 26 de enero de 2020
d20200207,Dato del 7 de febrero de 2020
d20200219,Dato del 19 de febrero de 2020
d20200302,Dato del 2 de marzo de 2020
d20200314,Dato del 14 de marzo de 2020
geom,Geometría espacial del punto
