field,fieldname_eu
d20160428,2016ko apirilaren 28ko datua
d20160510,2016ko maiatzaren 10eko datua
d20160603,2016ko ekainaren 3ko datua
d20160615,2016ko ekainaren 15eko datua
d20160627,2016ko ekainaren 27ko datua
d20160709,2016ko uztailaren 9ko datua
d20160721,2016ko uztailaren 21eko datua
d20160802,2016ko abuztuaren 2ko datua
d20160814,2016ko abuztuaren 14ko datua
d20160826,2016ko abuztuaren 26ko datua
d20160907,2016ko irailaren 7ko datua
d20160919,2016ko irailaren 19ko datua
d20161001,2016ko urriaren 1eko datua
d20161013,2016ko urriaren 13ko datua
d20161025,2016ko urriaren 25eko datua
d20161106,2016ko azaroaren 6ko datua
d20161118,2016ko azaroaren 18ko datua
d20161130,2016ko azaroaren 30eko datua
d20161212,2016ko abenduaren 12ko datua
d20161224,2016ko abenduaren 24ko datua
d20170105,2017ko urtarrilaren 5eko datua
d20170117,2017ko urtarrilaren 17ko datua
d20170129,2017ko urtarrilaren 29ko datua
d20170210,2017ko otsailaren 10eko datua
d20170222,2017ko otsailaren 22ko datua
d20170306,2017ko martxoaren 6ko datua
d20170318,2017ko martxoaren 18ko datua
d20170330,2017ko martxoaren 30eko datua
d20170411,2017ko apirilaren 11ko datua
d20170423,2017ko apirilaren 23ko datua
d20170505,2017ko maiatzaren 5eko datua
d20170517,2017ko maiatzaren 17ko datua
d20170529,2017ko maiatzaren 29ko datua
d20170610,2017ko ekainaren 10eko datua
d20170622,2017ko ekainaren 22ko datua
d20170704,2017ko uztailaren 4ko datua
d20170716,2017ko uztailaren 16ko datua
d20170728,2017ko uztailaren 28ko datua
d20170809,2017ko abuztuaren 9ko datua
d20170821,2017ko abuztuaren 21eko datua
d20170902,2017ko irailaren 2ko datua
d20170914,2017ko irailaren 14ko datua
d20170926,2017ko irailaren 26ko datua
d20171008,2017ko urriaren 8ko datua
d20171020,2017ko urriaren 20ko datua
d20171101,2017ko azaroaren 1eko datua
d20171113,2017ko azaroaren 13ko datua
d20171125,2017ko azaroaren 25eko datua
d20171207,2017ko abenduaren 7ko datua
d20171219,2017ko abenduaren 19ko datua
d20171231,2017ko abenduaren 31ko datua
d20180112,2018ko urtarrilaren 12ko datua
d20180124,2018ko urtarrilaren 24ko datua
d20180205,2018ko otsailaren 5eko datua
d20180217,2018ko otsailaren 17ko datua
d20180301,2018ko martxoaren 1eko datua
d20180313,2018ko martxoaren 13ko datua
d20180325,2018ko martxoaren 25eko datua
d20180406,2018ko apirilaren 6ko datua
d20180412,2018ko apirilaren 12ko datua
d20180424,2018ko apirilaren 24ko datua
d20180506,2018ko maiatzaren 6ko datua
d20180518,2018ko maiatzaren 18ko datua
d20180530,2018ko maiatzaren 30eko datua
d20180611,2018ko ekainaren 11ko datua
d20180623,2018ko ekainaren 23ko datua
d20180705,2018ko uztailaren 5eko datua
d20180717,2018ko uztailaren 17ko datua
d20180729,2018ko uztailaren 29ko datua
d20180810,2018ko abuztuaren 10eko datua
d20180822,2018ko abuztuaren 22ko datua
d20180903,2018ko irailaren 3ko datua
d20180915,2018ko irailaren 15eko datua
d20180927,2018ko irailaren 27ko datua
d20181009,2018ko urriaren 9ko datua
d20181021,2018ko urriaren 21eko datua
d20181102,2018ko azaroaren 2ko datua
d20181114,2018ko azaroaren 14ko datua
d20181126,2018ko azaroaren 26ko datua
d20181208,2018ko abenduaren 8ko datua
d20181220,2018ko abenduaren 20ko datua
d20190101,2019ko urtarrilaren 1eko datua
d20190113,2019ko urtarrilaren 13ko datua
d20190125,2019ko urtarrilaren 25eko datua
d20190218,2019ko otsailaren 18ko datua
d20190302,2019ko martxoaren 2ko datua
d20190326,2019ko martxoaren 26ko datua
d20190407,2019ko apirilaren 7ko datua
d20190419,2019ko apirilaren 19ko datua
d20190501,2019ko maiatzaren 1eko datua
d20190525,2019ko maiatzaren 25eko datua
d20190606,2019ko ekainaren 6ko datua
d20190618,2019ko ekainaren 18ko datua
d20190630,2019ko ekainaren 30eko datua
d20190724,2019ko uztailaren 24ko datua
d20190805,2019ko abuztuaren 5eko datua
d20190817,2019ko abuztuaren 17ko datua
d20190829,2019ko abuztuaren 29ko datua
d20190922,2019ko irailaren 22ko datua
d20191004,2019ko urriaren 4ko datua
d20191016,2019ko urriaren 16ko datua
d20191028,2019ko urriaren 28ko datua
d20191121,2019ko azaroaren 21eko datua
d20191203,2019ko abenduaren 3ko datua
d20191215,2019ko abenduaren 15eko datua
d20191221,2019ko abenduaren 21eko datua
d20200102,2020ko urtarrilaren 2ko datua
d20200114,2020ko urtarrilaren 14ko datua
d20200126,2020ko urtarrilaren 26ko datua
d20200207,2020ko otsailaren 7ko datua
d20200219,2020ko otsailaren 19ko datua
d20200302,2020ko martxoaren 2ko datua
d20200314,2020ko martxoaren 14ko datua
geom,Puntuaren geometria espaziala
